adryd325/oneko.js	1320	JavaScript	MIT	2022-04-20T05:17:50Z	2025-10-29T17:12:30Z	3	Cat follow mouse real! A script I wrote to put a cat on my site.
glreno/oneko	261	Java	Unlicense	2019-01-18T21:25:58Z	2019-02-02T22:04:01Z	5	The ever popular kitty-that-follows-your-mouse-pointer
kyrie25/spicetify-oneko	171	JavaScript	MIT	2023-06-09T12:18:01Z	2026-08-09T00:52:32Z	3	cat follow mouse (real). A fork of oneko.js modified for Spicetify
tie/oneko	149	C	NO-LICENSE	2018-05-28T18:11:00Z	2019-10-08T15:56:32Z	11	(unofficial) oneko-sakura sources Git mirror
			NO-LICENSE				
gil/shimeji-ee	60	Java	NOASSERTION(file:licence.txt)	2019-09-05T22:14:01Z	2019-09-05T22:14:27Z	3	One more Shimeji-ee Desktop Pet fork, based on Kilkakon's most recent (v1.0.13) source code, focused on fixing Mac compatibility (for now).
DalekCraft2/Shimeji-Desktop	51	Java	NOASSERTION(file:LICENSE.txt)	2023-11-13T18:01:46Z	2026-09-10T16:14:08Z	11	A port of Shimeji-ee from JRE 6 to JDK 25. Also has many code changes and bug fixes, but attempts to preserve backward compatibility.
TigerHix/shimeji-universal	36	Java	NOASSERTION(file:LICENSE)	2015-11-22T11:50:53Z	2021-03-22T06:19:42Z	0	An universal version of shimeji-ee with 64-bit support.
pixelomer/Shijima-Qt	200	C++	GPL-3.0	2024-07-21T10:33:33Z	2026-04-29T20:42:33Z	47	Shimeji desktop pet runner
estenv/linux-shimeji	166	Java	Zlib	2012-04-19T10:04:41Z	2025-08-24T17:30:39Z	19	Shimeji for Linux.
CluelessCatBurger/wl_shimeji	201	C	GPL-2.0	2024-09-01T21:44:11Z	2026-08-13T06:22:31Z	18	Shimeji reimplementation for Wayland in C
shinyflvre/Mate-Engine	3694	ShaderLab	NOASSERTION(file:LICENSE.md)	2025-03-20T03:41:52Z	2026-01-20T18:46:07Z	127	A free Desktop Mate alternative with a lightweight interface and custom VRM support, though with more features.
isHarryh/Ark-Pets	1099	Java	GPL-3.0	2022-09-15T02:12:47Z	2026-09-23T08:39:44Z	16	Arknights Desktop Pets | 明日方舟桌宠 (ArkPets)
ChaozhongLiu/DyberPet	982	Python	GPL-3.0	2022-11-09T21:04:56Z	2026-08-15T01:36:39Z	21	Desktop Cyber Pet Framework based on PySide6
Adrianotiger/desktopPet	1150	C#	NO-LICENSE	2015-12-19T20:16:52Z	2026-09-11T13:46:11Z	45	Remembering the lovely eSheep (stray sheep) from 1995 - 
MidraLab/uDesktopMascot	353	C#	Apache-2.0	2025-01-11T12:53:11Z	2026-03-15T18:48:16Z	9	desktop mascot open project
runcat-dev/RunCat365	10312	C#	Apache-2.0	2020-08-06T16:27:09Z	2026-07-15T12:19:26Z	10	A cute running cat animation on your windows taskbar.
